plot,block,rate,pattern,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77
207,2,28,grid,0.1,0.11,0.192,0.084,0.383,0.09,0.127,0.217,0.153,0.188,0.126,0.371,0.073,0.154,0.223,0.131,0.03,0.217,0.086,0.079,0.045,0.107,0.017,0.06,0.086,0.096,0.035,0.027,0.545,0.175,0.284,0.033,0.195,0.069,0.18,0.05,0.389,0.022,0.2,0.277,0.134,0.057,0.109,0.075,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,2,112,grid,0.13,0.071,0.243,0.064,0.081,0.061,0.124,0.278,0.023,0.055,0.024,0.405,0.03,0.011,0.125,0.048,0.068,0.18,0.192,0.019,0.139,0.226,0.019,0.081,0.141,0.018,0.027,0.013,0.097,0.026,0.016,0.044,0.103,0.013,0.436,0.083,0.025,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,2,112,row,0.097,0.042,0.041,0.035,0.318,0.079,0.013,0.052,0.017,0.108,0.075,0.018,0.099,0.031,0.106,0.134,0.03,0.234,0.054,0.014,0.599,0.187,0.132,0.07,0.031,0.18,0.11,0.37,0.046,0.039,0.179,0.204,0.221,0.193,0.197,0.031,0.036,0.025,0.024,0.009,0.099,0.031,0.057,0.012,0.03,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,3,56,row,0.233,0.236,0.171,0.088,0.081,0.171,0.167,0.274,0.023,0.051,0.324,0.367,0.176,0.041,0.054,0.123,0.053,0.119,0.076,0.134,0.382,0.037,0.039,0.068,0.34,0.097,0.015,0.252,0.168,0.117,0.512,0.373,0.021,0.107,0.098,0.182,0.244,0.122,0.181,0.068,0.3,0.369,0.163,0.081,0.125,0.033,0.018,0.136,0.1,0.171,0.236,0.024,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,3,56,grid,0.14,0.019,0.231,0.056,0.084,0.289,0.043,0.022,0.024,0.09,0.068,0.123,0.082,0.049,0.269,0.202,0.162,0.046,0.134,0.03,0.209,0.121,0.104,0.167,0.033,0.202,0.197,0.114,0.145,0.113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,3,112,row,0.105,0.061,0.041,0.136,0.389,0.051,0.136,0.106,0.089,0.048,0.379,0.174,0.255,0.105,0.082,0.627,0.197,0.056,0.105,0.023,0.203,0.057,0.16,0.04,0.113,0.116,0.091,0.107,0.115,0.068,0.131,0.066,0.467,0.08,0.04,0.025,0.065,0.034,0.021,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,3,168,row,0.029,0.025,0.03,0.042,0.069,0.073,0.027,0.031,0.068,0.04,0.044,0.114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,3,28,row,0.152,0.14,0.184,0.196,0.429,0.156,0.222,0.17,0.095,0.106,0.148,0.092,0.05,0.297,0.092,0.023,0.247,0.16,0.116,0.111,0.276,0.089,0.071,0.143,0.105,0.083,0.163,0.299,0.187,0.05,0.052,0.015,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,3,28,grid,0.153,0.514,0.235,0.045,0.071,0.355,0.635,0.477,0.219,0.369,0.135,0.114,0.064,0.059,0.15,0.138,0.067,0.077,0.286,0.315,0.07,0.437,0.06,0.03,0.331,0.089,0.201,0.121,0.068,0.12,0.047,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,3,168,grid,0.028,0.017,0.014,0.039,0.11,0.027,0.034,0.481,0.284,0.035,0.089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,3,112,grid,0.095,0.241,0.148,0.135,0.076,0.032,0.022,0.064,0.096,0.153,0.078,0.183,0.19,0.133,0.041,0.043,0.081,0.01,0.045,0.024,0.193,0.019,0.102,0.009,0.012,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
